gloss,text
AFTERNOON FRIEND DRIVE_CAR DRIVE_CAR,"In the afternoon, the friend is driving the drive_car."
AFTERNOON I FEEL CONFUSED,"In the afternoon, I am feeling confused."
MORNING I BREAK AGE,"In the morning, I am breaking the age."
MORNING MAN TELL CAMERA,"In the morning, the man is telling the camera."
YESTERDAY I GO COMPANY FIND NAME COME HOME,"Yesterday, I went to the company, found the name, and came home."
AFTERNOON FATHER DRIVE_CAR BUS,"In the afternoon, the father is driving the bus."
HOW-MANY SIGN WE HAVE,How many signs does we have?
YOU NOT UNDERSTAND PHONE,You do not understand the phone.
AFTERNOON MOTHER BUILD COMPUTER,"In the afternoon, the mother is building the computer."
AFTERNOON STUDENT CARRY LAPTOP,"In the afternoon, the student is carrying the laptop."
AFTERNOON WOMAN FEEL CONFUSED,"In the afternoon, the woman is feeling confused."
WE HAVE LESSON YOU-KNOW,Do we have the lesson?
NOW STUDENT FEEL NERVOUS,"Now, the student is feeling nervous."
NOW MAN BUILD DESIGN,"Now, the man is building the design."
TOMORROW TEACHER CLIMB BANK,"Tomorrow, the teacher will climb to the bank."
AFTERNOON FAMILY FEEL NERVOUS,"In the afternoon, the family are feeling nervous."
AFTERNOON FAMILY FEEL SORRY,"In the afternoon, the family are feeling sorry."
MORNING BOSS FEEL SAD,"In the morning, the boss is feeling sad."
YESTERDAY I GO PLACE BUY EAT_FOOD COME HOME,"Yesterday, I went to the place, bought some food, and came home."
YESTERDAY I FEEL SAD,"Yesterday, I felt sad."
TOMORROW MAN INSTALL COMPUTER,"Tomorrow, the man will install the computer."
CHILD NOT NEED COMPANY,The child does not need the company.
MORNING HE FEEL BORED,"In the morning, he is feeling bored."
TEACHER NOT UNDERSTAND QUESTION,The teacher does not understand the question.
I NOT NEED ROOM,I do not need the room.
PLEASE HELP ME I NEED MEETING FOR EXAM,"Please help me, I need the meeting for the exam."
I HAVE SEVENTEEN BOOK,I have seventeen books.
YESTERDAY STUDENT NEED EXAM,"Yesterday, the student needed the exam."
MORNING FRIEND RECEIVE LANGUAGE,"In the morning, the friend is receiving the language."
TOMORROW MORNING I WANT GO COUNTRY LEARN MONEY,"Tomorrow morning, I want to go to the country and learn the money."
COMPUTER WHERE,Where is the computer?
HOW-MANY IDEA I HAVE,How many ideas do I have?
YESTERDAY STUDENT BELIEVE LANGUAGE,"Yesterday, the student believed the language."
AFTERNOON MOTHER BRING BODY,"In the afternoon, the mother is bringing the body."
YESTERDAY SISTER PUSH PROBLEM,"Yesterday, the sister pushed the problem."
MAN NOT LIKE PHONE,The man does not like the phone.
TOMORROW SHE ASK BODY,"Tomorrow, she will ask the body."
NIGHT BABY FEEL READY,"At night, the baby is feeling ready."
MAN NOT NEED PROGRAM,The man does not need the program.
SEVENTEEN WEEK,seventeen weeks.
NIGHT BROTHER DRINK WATER,"At night, the brother is drinking some water."
AFTERNOON I LEAVE HOSPITAL,"In the afternoon, I am leaving the hospital."
NIGHT SHE GIVE BUS,"At night, she is giving the bus."
TOMORROW TEAM EXPLAIN BROTHER,"Tomorrow, the team will explain the brother."
TOMORROW MORNING I WANT GO STORE STUDY SOLUTION,"Tomorrow morning, I want to go to the store and study the solution."
THEY NOT HAVE PARK,They do not have the park.
TOMORROW TEACHER OPEN GRADE,"Tomorrow, the teacher will open the grade."
PLEASE GIVE ME QUESTION,Please give me the question.
TOMORROW WORKER FIX MODEL,"Tomorrow, the worker will fix the model."
SHE NOT KNOW TIME,She does not know the time.
NIGHT TEAM HOPE NAME,"At night, the team hope the name."
DOCTOR NOT NEED IDEA,The doctor does not need the idea.
NOW SISTER ARRIVE HOUSE,"Now, the sister is arriving at the house."
YESTERDAY TEAM DRINK MEDICINE,"Yesterday, the team drank some medicine."
DOCTOR NOT NEED PHONE,The doctor does not need the phone.
AFTERNOON FRIEND CALL TEACHER,"In the afternoon, the friend is calling the teacher."
MORNING THEY FALL MARKET,"In the morning, they are falling to the market."
I NOT UNDERSTAND LESSON,I do not understand the lesson.
YESTERDAY I FIX PHONE,"Yesterday, I fixed the phone."
TOMORROW MORNING I WANT GO COUNTRY STUDY LETTER,"Tomorrow morning, I want to go to the country and study the letter."
YESTERDAY FATHER CALL I,"Yesterday, the father called me."
AFTERNOON TEAM DRIVE_CAR DRIVE_CAR,"In the afternoon, the team are driving the drive_car."
AFTERNOON BABY DRINK WATER,"In the afternoon, the baby is drinking some water."
AFTERNOON SISTER DRIVE_CAR BIKE,"In the afternoon, the sister is driving the bike."
WORKER NOT KNOW LESSON,The worker does not know the lesson.
TOMORROW MORNING I WANT GO LIBRARY LEARN PROBLEM,"Tomorrow morning, I want to go to the library and learn the problem."
NIGHT DOCTOR BREAK ENGLISH,"At night, the doctor is breaking the english."
TEACHER NOT WANT CAMERA,The teacher does not want the camera.
NIGHT SISTER FEEL BORED,"At night, the sister is feeling bored."
MORNING BROTHER PUSH DESIGN,"In the morning, the brother is pushing the design."
YESTERDAY I GO CITY GET KEY COME HOME,"Yesterday, I went to the city, got the key, and came home."
NOW FRIEND SAVE PROGRAM,"Now, the friend is saving the program."
TOMORROW SHE PROGRAM AGE,"Tomorrow, she will program the age."
NIGHT FRIEND DRINK WATER,"At night, the friend is drinking some water."
AFTERNOON POLICE SLEEP ENGLISH,"In the afternoon, the police are sleeping the english."
YESTERDAY I GO STORE SEE LAPTOP COME HOME,"Yesterday, I went to the store, saw the laptop, and came home."
I HAVE COMPUTER YOU-KNOW,Do I have the computer?
HOW SHE FEEL,How does she feel?
HOW-MANY MEETING HE HAVE,How many meetings does he have?
DOCTOR NOT KNOW NAME,The doctor does not know the name.
FATHER NOT KNOW BAG,The father does not know the bag.
PLEASE HELP ME I NEED SOLUTION FOR PART,"Please help me, I need the solution for the part."
MORNING STUDENT FEEL BUSY,"In the morning, the student is feeling busy."
FATHER NOT UNDERSTAND GRADE,The father does not understand the grade.
NOW DOCTOR FEEL BORED,"Now, the doctor is feeling bored."
TOMORROW SHE FEEL EXCITED,"Tomorrow, she will feel excited."
HE WANT HAND YOU-KNOW,Does he want the hand?
BABY NOT LIKE LANGUAGE,The baby does not like the language.
NIGHT WOMAN GIVE PART,"At night, the woman is giving the part."
TOMORROW DOCTOR LIKE PROBLEM,"Tomorrow, the doctor will like the problem."
TOMORROW BABY LEARN LESSON,"Tomorrow, the baby will learn the lesson."
BROTHER NOT LIKE CAMERA,The brother does not like the camera.
YESTERDAY SISTER PULL SYSTEM,"Yesterday, the sister pulled the system."
THEY NOT LIKE ENGLISH,They do not like the english.
TOMORROW WOMAN BREAK PART,"Tomorrow, the woman will break the part."
SHE NOT UNDERSTAND VIDEO,She does not understand the video.
NOW FRIEND LOSE PROBLEM,"Now, the friend loses the problem."
NOW SISTER NEED GRADE,"Now, the sister needs the grade."
TOMORROW HE UPLOAD PROGRAM,"Tomorrow, he will upload the program."
NIGHT SISTER DO NAME,"At night, the sister dos the name."
NOW I SEND NAME,"Now, I am sending the name."
NOW FRIEND FEEL HOT,"Now, the friend is feeling hot."
YESTERDAY I GO OFFICE BUY HAND COME HOME,"Yesterday, I went to the office, bought the hand, and came home."
FRIEND NOT KNOW WORD,The friend does not know the word.
TOMORROW MORNING I WANT GO HOSPITAL STUDY EXAM,"Tomorrow morning, I want to go to the hospital and study the exam."
NIGHT BABY FEEL PROUD,"At night, the baby is feeling proud."
TEACHER NOT WANT LESSON,The teacher does not want the lesson.
YESTERDAY POLICE ANSWER APP,"Yesterday, the police answered the app."
I NOT UNDERSTAND VIDEO,I do not understand the video.
AFTERNOON FATHER DRIVE_CAR BIKE,"In the afternoon, the father is driving the bike."
NOW SISTER DRIVE_CAR BUS,"Now, the sister is driving the bus."
YESTERDAY MOTHER FEEL STRONG,"Yesterday, the mother felt strong."
MAN NOT HAVE QUESTION,The man does not have the question.
MORNING WOMAN SLEEP PROBLEM,"In the morning, the woman is sleeping the problem."
AFTERNOON FAMILY FEEL ANGRY,"In the afternoon, the family are feeling angry."
TOMORROW MORNING I WANT GO RESTAURANT READ NAME,"Tomorrow morning, I want to go to the restaurant and read the name."
YESTERDAY FAMILY EXPLAIN WE,"Yesterday, the family explained us."
YESTERDAY FAMILY CUT PROBLEM,"Yesterday, the family cut the problem."
MORNING STUDENT EAT_FOOD APPLE,"In the morning, the student is eating some apple."
AFTERNOON WOMAN SHARE BODY,"In the afternoon, the woman is sharing the body."
NIGHT MAN DEVELOP VIDEO,"At night, the man is developing the video."
THEY WANT MEDICINE YOU-KNOW,Do they want some medicine?
NIGHT BROTHER SLEEP CAMERA,"At night, the brother is sleeping the camera."
I FEEL ANGRY YOU-KNOW,Am I feeling angry?
NIGHT BROTHER WORK SIGN,"At night, the brother works the sign."
AFTERNOON FRIEND LIKE BANK,"In the afternoon, the friend likes the bank."
PLEASE HELP ME I NEED MEETING FOR BOOK,"Please help me, I need the meeting for the book."
AFTERNOON MOTHER INSTALL PHONE,"In the afternoon, the mother is installing the phone."
PLEASE HELP ME I NEED PROBLEM FOR BOOK,"Please help me, I need the problem for the book."
FAMILY NOT SEE DESIGN,The family do not see the design.
WE NOT LIKE PLACE,We do not like the place.
AFTERNOON YOU USE PASSWORD,"In the afternoon, you are using the password."
TOMORROW TEAM SAVE CAMERA,"Tomorrow, the team will save the camera."
NIGHT I SAVE VIDEO,"At night, I am saving the video."
TOMORROW THEY RECEIVE TRAIN,"Tomorrow, they will receive the train."
CHILD NOT NEED COMPUTER,The child does not need the computer.
MORNING FAMILY LOGIN CAMERA,"In the morning, the family are logining the camera."
HOW-MUCH MONEY YOU NEED,How much money do you need?
CHILD NOT LIKE IDEA,The child does not like the idea.
HE NOT NEED BAG,He does not need the bag.
YESTERDAY I GO BANK FIND SOLUTION COME HOME,"Yesterday, I went to the bank, found the solution, and came home."
NOW TEAM PAY NAME,"Now, the team are paying the name."
NIGHT BOSS STUDY EXAM,"At night, the boss is studying the exam."
BOSS NOT NEED ROAD,The boss does not need the road.
DOCTOR NOT WANT SCHOOL,The doctor does not want the school.
TOMORROW MOTHER CHANGE LESSON,"Tomorrow, the mother will change the lesson."
BOSS NOT SEE SIGN,The boss does not see the sign.
NOW WE CARRY PROGRAM,"Now, we are carrying the program."
YESTERDAY FAMILY SLEEP LESSON,"Yesterday, the family slept the lesson."
TOMORROW MORNING I WANT GO COUNTRY LEARN NAME,"Tomorrow morning, I want to go to the country and learn the name."
NIGHT FATHER FEEL BUSY,"At night, the father is feeling busy."
YESTERDAY THEY DEVELOP DESIGN,"Yesterday, they developed the design."
NIGHT CHILD DEVELOP GRADE,"At night, the child is developing the grade."
YESTERDAY POLICE STUDY DATA,"Yesterday, the police studied the data."
WORKER NOT SEE BANK,The worker does not see the bank.
GROUP NOT KNOW OFFICE,The group do not know the office.
THEY HAVE SENTENCE YOU-KNOW,Do they have the sentence?
PLEASE HELP ME I NEED APP FOR HAND,"Please help me, I need the app for the hand."
TOMORROW MORNING I WANT GO COUNTRY LEARN WORD,"Tomorrow morning, I want to go to the country and learn the word."
BOSS NOT SEE GRADE,The boss does not see the grade.
AFTERNOON HE FEEL SICK,"In the afternoon, he is feeling sick."
YESTERDAY THEY CALL WE,"Yesterday, they called us."
NAME T O M,My name is Tom.
HOW-MANY WORD YOU HAVE,How many words do you have?
YESTERDAY GROUP COOK FOOD,"Yesterday, the group cooked the food."
YESTERDAY I GO RESTAURANT SEE PASSWORD COME HOME,"Yesterday, I went to the restaurant, saw the password, and came home."
HE NOT KNOW PHONE,He does not know the phone.
TOMORROW FATHER FEEL PROUD,"Tomorrow, the father will feel proud."
YESTERDAY DOCTOR DRINK COFFEE,"Yesterday, the doctor drank some coffee."
AFTERNOON STUDENT FEEL STRONG,"In the afternoon, the student is feeling strong."
YESTERDAY FRIEND LEARN DATA,"Yesterday, the friend learned the data."
FATHER NOT NEED CITY,The father does not need the city.
YESTERDAY I GO OFFICE BUY PROBLEM COME HOME,"Yesterday, I went to the office, bought the problem, and came home."
WORKER NOT SEE CODE,The worker does not see the code.
AFTERNOON POLICE GIVE SYSTEM,"In the afternoon, the police are giving the system."
PLEASE HELP ME I NEED BOOK FOR LANGUAGE,"Please help me, I need the book for the language."
YESTERDAY GROUP USE BOOK,"Yesterday, the group used the book."
TOMORROW YOU DRIVE_CAR BIKE,"Tomorrow, you will drive the bike."
FIFTEEN MONTH,fifteen months.
FATHER NOT SEE QUESTION,The father does not see the question.
YESTERDAY YOU THROW CAMERA,"Yesterday, you threw the camera."
WHEN WE LEAVE,When is we coming?
AFTERNOON HE FEEL BORED,"In the afternoon, he is feeling bored."
NIGHT WOMAN SEND PROGRAM,"At night, the woman is sending the program."
AFTERNOON SHE FEEL BUSY,"In the afternoon, she is feeling busy."
DOCTOR NOT WANT IDEA,The doctor does not want the idea.
YESTERDAY GROUP BELIEVE HAND,"Yesterday, the group believed the hand."
NIGHT CHILD CUT PROJECT,"At night, the child is cutting the project."
TOMORROW WORKER INSTALL DATA,"Tomorrow, the worker will install the data."
AFTERNOON GROUP RUN OFFICE,"In the afternoon, the group are running to the office."
HE NOT HAVE KEY,He does not have the key.
TOMORROW MOTHER CUT QUESTION,"Tomorrow, the mother will cut the question."
HOW-MANY AGE HE HAVE,How many ages does he have?
TEAM NOT SEE PROGRAM,The team do not see the program.
MORNING BOSS BORROW TRAIN,"In the morning, the boss is borrowing the train."
AFTERNOON WORKER WRITE BAG,"In the afternoon, the worker is writing the bag."
NIGHT YOU DRINK WATER,"At night, you are drinking some water."
DOCTOR NOT HAVE AGE,The doctor does not have the age.
SHE NOT SEE GRADE,She does not see the grade.
I LIKE EAT_FOOD,I like the food.
NIGHT HE BRING BAG,"At night, he is bringing the bag."
MORNING BOSS FEEL STRONG,"In the morning, the boss is feeling strong."
AFTERNOON TEAM TEACH DATA,"In the afternoon, the team are teaching the data."
MORNING CHILD INSTALL INTERNET,"In the morning, the child is installing the internet."
HOW-MANY VIDEO SHE HAVE,How many videos does she have?
AFTERNOON FATHER SHOW STUDENT,"In the afternoon, the father is showing the student."
AFTERNOON BOSS SEARCH INTERNET,"In the afternoon, the boss is searching the internet."
YESTERDAY I GO COMPANY GET SOLUTION COME HOME,"Yesterday, I went to the company, got the solution, and came home."
YESTERDAY I MEET FATHER,"Yesterday, I met the father."
AFTERNOON TEACHER DOWNLOAD SYSTEM,"In the afternoon, the teacher is downloading the system."
WORKER NOT WANT RESTAURANT,The worker does not want the restaurant.
NIGHT TEACHER FEEL WEAK,"At night, the teacher is feeling weak."
TOMORROW MORNING I WANT GO HOSPITAL LEARN BODY,"Tomorrow morning, I want to go to the hospital and learn the body."
YESTERDAY SISTER CONFUSE IDEA,"Yesterday, the sister confused the idea."
AFTERNOON BOSS THINK PROBLEM,"In the afternoon, the boss thinks the problem."
MORNING GROUP FIX NAME,"In the morning, the group are fixing the name."
TOMORROW SISTER SLEEP VIDEO,"Tomorrow, the sister will sleep the video."
NOW BOSS SHARE MEETING,"Now, the boss is sharing the meeting."
NIGHT THEY SAVE PASSWORD,"At night, they are saving the password."
MAN NOT LIKE BAG,The man does not like the bag.
I FEEL WEAK YOU-KNOW,Am I feeling weak?
WE FEEL READY YOU-KNOW,Are we feeling ready?
YESTERDAY WE WRITE LESSON,"Yesterday, we wrote the lesson."
POLICE NOT NEED STORE,The police do not need the store.
NOW CHILD LEAVE RESTAURANT,"Now, the child is leaving the restaurant."
MORNING TEACHER DRIVE_CAR BIKE,"In the morning, the teacher is driving the bike."
AFTERNOON BOSS READ AGE,"In the afternoon, the boss is reading the age."
MOTHER NOT HAVE BOOK,The mother does not have the book.
LETTER WHERE,Where is the letter?
THEY HAVE BAG YOU-KNOW,Do they have the bag?
YESTERDAY CHILD BORROW NAME,"Yesterday, the child borrowed the name."
WOMAN NOT SEE SCHOOL,The woman does not see the school.
BABY NOT HAVE HOSPITAL,The baby does not have the hospital.
YOU LIKE COMPANY YOU-KNOW,Do you like the company?
AFTERNOON STUDENT FEEL COLD,"In the afternoon, the student is feeling cold."
I NOT WANT MODEL,I do not want the model.
TOMORROW MORNING I WANT GO COUNTRY READ LESSON,"Tomorrow morning, I want to go to the country and read the lesson."
WE NOT NEED APP,We do not need the app.
AFTERNOON BROTHER FEEL BORED,"In the afternoon, the brother is feeling bored."
AFTERNOON BOSS FEEL SICK,"In the afternoon, the boss is feeling sick."
MORNING BOSS DRINK WATER,"In the morning, the boss is drinking some water."
MOTHER NOT UNDERSTAND BANK,The mother does not understand the bank.
YOU NOT HAVE PLACE,You do not have the place.
YESTERDAY TEAM GO ROAD,"Yesterday, the team went to the road."
NIGHT FAMILY SHOW BROTHER,"At night, the family are showing the brother."
TOMORROW TEACHER SHARE VIDEO,"Tomorrow, the teacher will share the video."
MORNING SISTER UPLOAD PHONE,"In the morning, the sister is uploading the phone."
WORKER NOT KNOW IDEA,The worker does not know the idea.
U S A,USA.
YESTERDAY TEACHER CLOSE TIME,"Yesterday, the teacher closed the time."
YOU NOT WANT GRADE,You do not want the grade.
NIGHT MOTHER FALL ROOM,"At night, the mother is falling to the room."
TOMORROW MORNING I WANT GO BANK LEARN IDEA,"Tomorrow morning, I want to go to the bank and learn the idea."
ROAD LONG,The road is long.
WE WANT DESIGN YOU-KNOW,Do we want the design?
MORNING FRIEND ASK CAMERA,"In the morning, the friend is asking the camera."
NOW BOSS BRING BOOK,"Now, the boss is bringing the book."
HOW-MUCH CODE I NEED,How much code do I need?
MORNING BROTHER USE BAG,"In the morning, the brother is using the bag."
MORNING SHE SHARE AGE,"In the morning, she is sharing the age."
AFTERNOON SISTER MEET BROTHER,"In the afternoon, the sister is meeting the brother."
NOW POLICE UNDERSTAND ENGLISH,"Now, the police understand the english."
TOMORROW THEY FEEL SCARED,"Tomorrow, they will feel scared."
NOW SHE PROGRAM NAME,"Now, she is programming the name."
HOW-MANY DESIGN SHE HAVE,How many designs does she have?
NOW TEAM UPLOAD SYSTEM,"Now, the team are uploading the system."
NOW MAN FIND FATHER,"Now, the man is finding the father."
WHEN HE ARRIVE,When is he coming?
MORNING WORKER FEEL HOT,"In the morning, the worker is feeling hot."
YESTERDAY STUDENT EAT_FOOD APPLE,"Yesterday, the student ate some apple."
PLEASE HELP ME I NEED PART FOR IDEA,"Please help me, I need the part for the idea."
YESTERDAY I GO ROAD SEE PROGRAM COME HOME,"Yesterday, I went to the road, saw the program, and came home."
NIGHT FAMILY FEEL SAD,"At night, the family are feeling sad."
YESTERDAY BOSS DRINK MEDICINE,"Yesterday, the boss drank some medicine."
AFTERNOON CHILD FEEL SCARED,"In the afternoon, the child is feeling scared."
NIGHT THEY FEEL ANGRY,"At night, they are feeling angry."
TOMORROW MORNING I WANT GO ROOM STUDY GRADE,"Tomorrow morning, I want to go to the room and study the grade."
YESTERDAY BABY PULL COMPUTER,"Yesterday, the baby pulled the computer."
CHILD NOT UNDERSTAND MONEY,The child does not understand the money.
MORNING MOTHER FEEL COLD,"In the morning, the mother is feeling cold."
PLEASE HELP ME I NEED DATA FOR SIGN,"Please help me, I need the data for the sign."
I NOT SEE SIGN,I do not see the sign.
MORNING BOSS CATCH MODEL,"In the morning, the boss is catching the model."
WE NOT HAVE BOOK,We do not have the book.
NIGHT YOU FEEL BORED,"At night, you are feeling bored."
TOMORROW TEACHER PAY MONEY,"Tomorrow, the teacher will pay the money."
WE LIKE HOUSE YOU-KNOW,Do we like the house?
YESTERDAY YOU USE MEETING,"Yesterday, you used the meeting."
YESTERDAY I GO LIBRARY BUY MEDICINE COME HOME,"Yesterday, I went to the library, bought some medicine, and came home."
MAN NOT KNOW BOOK,The man does not know the book.
BOSS NOT UNDERSTAND SCHOOL,The boss does not understand the school.
MORNING WE HOPE AGE,"In the morning, we hope the age."
NOW WE TELL MEETING,"Now, we are telling the meeting."
NIGHT WE USE LANGUAGE,"At night, we are using the language."
I HAVE DATA YOU-KNOW,Do I have the data?
SHE NOT WANT GRADE,She does not want the grade.
MORNING GROUP MEET BOSS,"In the morning, the group are meeting the boss."
YESTERDAY FRIEND FEEL SCARED,"Yesterday, the friend felt scared."
MORNING MAN FEEL TIRED,"In the morning, the man is feeling tired."
AFTERNOON WOMAN DRINK WATER,"In the afternoon, the woman is drinking some water."
WHY YOU FEEL HOT,Why are you feeling hot?
HE HAVE COMPUTER YOU-KNOW,Does he have the computer?
SHE NOT WANT ROAD,She does not want the road.
AFTERNOON I FEEL HOT,"In the afternoon, I am feeling hot."
NIGHT WORKER DEVELOP GRADE,"At night, the worker is developing the grade."
THEY NOT UNDERSTAND PLACE,They do not understand the place.
MORNING THEY TRY PROJECT,"In the morning, they try the project."
NIGHT BOSS FEEL HOT,"At night, the boss is feeling hot."
AFTERNOON GROUP SAVE LAPTOP,"In the afternoon, the group are saving the laptop."
I AT SCHOOL,I'm at school.
AFTERNOON FATHER RECEIVE MODEL,"In the afternoon, the father is receiving the model."
TOMORROW MORNING I WANT GO RESTAURANT STUDY WORD,"Tomorrow morning, I want to go to the restaurant and study the word."
TOMORROW BOSS FEEL HOT,"Tomorrow, the boss will feel hot."
MAN NOT LIKE ROOM,The man does not like the room.
PLEASE HELP ME I NEED HAND FOR SOLUTION,"Please help me, I need the hand for the solution."
DOCTOR NOT WANT BAG,The doctor does not want the bag.
SHE WANT EXAM YOU-KNOW,Does she want the exam?
NAME S A R A H,My name is Sarah.
NIGHT WORKER SHARE SYSTEM,"At night, the worker is sharing the system."
AFTERNOON POLICE FEEL ANGRY,"In the afternoon, the police are feeling angry."
NOW HE PLAY SOLUTION,"Now, he plays the solution."
WE NOT WANT STORE,We do not want the store.
FAMILY NOT LIKE QUESTION,The family do not like the question.
NOW FAMILY STAND CITY,"Now, the family are standing to the city."
TOMORROW BROTHER WRITE MEETING,"Tomorrow, the brother will write the meeting."
MORNING FRIEND LEARN PROGRAM,"In the morning, the friend is learning the program."
HE NOT WANT VIDEO,He does not want the video.
AFTERNOON WOMAN CLOSE HAND,"In the afternoon, the woman is closing the hand."
TEACHER NOT KNOW CITY,The teacher does not know the city.
TOMORROW GROUP MISS QUESTION,"Tomorrow, the group will miss the question."
TOMORROW MOTHER FEEL EXCITED,"Tomorrow, the mother will feel excited."
AFTERNOON BROTHER FIND POLICE,"In the afternoon, the brother is finding the police."
AFTERNOON I DRINK COFFEE,"In the afternoon, I am drinking some coffee."
WE FEEL SCARED YOU-KNOW,Are we feeling scared?
AFTERNOON TEAM FEEL BORED,"In the afternoon, the team are feeling bored."
TOMORROW FATHER SHARE PHONE,"Tomorrow, the father will share the phone."
NIGHT WOMAN UPLOAD PROGRAM,"At night, the woman is uploading the program."
YESTERDAY DOCTOR FEEL WEAK,"Yesterday, the doctor felt weak."
MORNING DOCTOR FEEL HOT,"In the morning, the doctor is feeling hot."
MORNING FAMILY BUILD LANGUAGE,"In the morning, the family are building the language."
MAN NOT UNDERSTAND CAMERA,The man does not understand the camera.
STUDENT NOT UNDERSTAND PHONE,The student does not understand the phone.
NIGHT MAN HELP FAMILY,"At night, the man is helping the family."
BOSS NOT UNDERSTAND GRADE,The boss does not understand the grade.
YESTERDAY YOU STUDY BODY,"Yesterday, you studied the body."
NIGHT BABY INSTALL DATA,"At night, the baby is installing the data."
MORNING YOU FEEL SAD,"In the morning, you are feeling sad."
MORNING THEY LIKE QUESTION,"In the morning, they like the question."
NOW SHE DRIVE_CAR BIKE,"Now, she is driving the bike."
HOW-MUCH APPLE I NEED,How much apple do I need?
NOW POLICE SAVE VIDEO,"Now, the police are saving the video."
SHE NOT NEED PASSWORD,She does not need the password.
AFTERNOON FRIEND DRINK COFFEE,"In the afternoon, the friend is drinking some coffee."
TOMORROW FAMILY FEEL TIRED,"Tomorrow, the family will feel tired."
WORKER NOT HAVE LAPTOP,The worker does not have the laptop.
YESTERDAY I GO ROOM BUY COFFEE COME HOME,"Yesterday, I went to the room, bought some coffee, and came home."
NIGHT SISTER CUT COMPUTER,"At night, the sister is cutting the computer."
YOU FEEL CONFUSED YOU-KNOW,Are you feeling confused?
MORNING I MEET BOSS,"In the morning, I am meeting the boss."
MORNING POLICE PUSH LETTER,"In the morning, the police are pushing the letter."
AFTERNOON HE CUT QUESTION,"In the afternoon, he is cutting the question."
YESTERDAY STUDENT FEEL SCARED,"Yesterday, the student felt scared."
AFTERNOON POLICE CALL THEY,"In the afternoon, the police are calling them."
AFTERNOON FATHER MAKE_CREATE GRADE,"In the afternoon, the father is making the grade."
MORNING POLICE HELP POLICE,"In the morning, the police are helping the police."
AFTERNOON HE FEEL COLD,"In the afternoon, he is feeling cold."
YESTERDAY TEACHER ASK BAG,"Yesterday, the teacher asked the bag."
THEY NOT KNOW SCHOOL,They do not know the school.
I HAVE EIGHT BOOK,I have eight books.
AFTERNOON BABY PAY MEETING,"In the afternoon, the baby is paying the meeting."
TOMORROW MORNING I WANT GO LIBRARY READ SENTENCE,"Tomorrow morning, I want to go to the library and read the sentence."
YESTERDAY GROUP KNOW SOLUTION,"Yesterday, the group knew the solution."
YOU LIKE EAT_FOOD YOU-KNOW,Do you like some food?
BROTHER NOT NEED MARKET,The brother does not need the market.
NOW SHE FEEL COLD,"Now, she is feeling cold."
SORRY I SIGN AGAIN,"Sorry, let me sign again."
PLEASE HELP ME I NEED AGE FOR LETTER,"Please help me, I need the age for the letter."
YOU GO STORE YOU-KNOW,Are you going to the store?
NOW CHILD ARRIVE MARKET,"Now, the child is arriving at the market."
SEVEN MONTH,seven months.
YESTERDAY SHE CLIMB COMPANY,"Yesterday, she climbed to the company."
MORNING BOSS CLIMB HOSPITAL,"In the morning, the boss is climbing to the hospital."
NIGHT BABY STAND RESTAURANT,"At night, the baby is standing to the restaurant."
I WANT IDEA YOU-KNOW,Do I want the idea?
PLEASE HELP ME I NEED ENGLISH FOR TIME,"Please help me, I need the english for the time."
DOCTOR NOT WANT PROGRAM,The doctor does not want the program.
MORNING GROUP REMEMBER IDEA,"In the morning, the group remember the idea."
FRIEND NOT WANT MARKET,The friend does not want the market.
TOMORROW MORNING I WANT GO HOSPITAL LEARN HAND,"Tomorrow morning, I want to go to the hospital and learn the hand."
NIGHT STUDENT INSTALL PHONE,"At night, the student is installing the phone."
YESTERDAY GROUP FEEL CONFUSED,"Yesterday, the group felt confused."
HOW-MUCH SOFTWARE THEY NEED,How much software does they need?
TOMORROW TEAM FEEL HAPPY,"Tomorrow, the team will feel happy."
PLEASE HELP ME I NEED BODY FOR BODY,"Please help me, I need the body for the body."
YESTERDAY GROUP STAND ROAD,"Yesterday, the group stood to the road."
TEAM NOT UNDERSTAND LIBRARY,The team do not understand the library.
NOW FRIEND EAT_FOOD FOOD,"Now, the friend is eating the food."
SPELL Q,Q.
YOU NOT LIKE ROOM,You do not like the room.
TOMORROW MOTHER CUT IDEA,"Tomorrow, the mother will cut the idea."
YESTERDAY I GO OFFICE GET PASSWORD COME HOME,"Yesterday, I went to the office, got the password, and came home."
I NOT LIKE COMPANY,I do not like the company.
YESTERDAY I GO ROAD SEE VIDEO COME HOME,"Yesterday, I went to the road, saw the video, and came home."
TOMORROW MORNING I WANT GO OFFICE LEARN PROBLEM,"Tomorrow morning, I want to go to the office and learn the problem."
FAMILY NOT WANT PARK,The family do not want the park.
AFTERNOON WE WANT OFFICE,"In the afternoon, we want the office."
BOSS NOT WANT CITY,The boss does not want the city.
TOMORROW DOCTOR LEARN PHONE,"Tomorrow, the doctor will learn the phone."
TOMORROW MOTHER GIVE INTERNET,"Tomorrow, the mother will give the internet."
GROUP NOT NEED MODEL,The group do not need the model.
NOW WE PRACTICE VIDEO,"Now, we are practicing the video."
BABY NOT NEED PHONE,The baby does not need the phone.
MORNING SHE CLEAN WORD,"In the morning, she is cleaning the word."
WHY SHE FEEL NERVOUS,Why is she feeling nervous?
TOMORROW STUDENT MEET BROTHER,"Tomorrow, the student will meet the brother."
NOW DOCTOR FEEL BUSY,"Now, the doctor is feeling busy."
